الخط,سبب/ملاحظات,يوم 1,يوم 2,يوم 3,يوم 4,يوم 5,يوم 6,يوم 7,يوم 8,يوم 9,يوم 10,يوم 11,يوم 12,يوم 13,يوم 14,يوم 15,يوم 16,يوم 17,يوم 18,يوم 19,يوم 20,يوم 21,يوم 22,يوم 23,يوم 24,يوم 25,يوم 26,يوم 27,يوم 28,يوم 29,يوم 30,يوم 31
Continuous,2026-07-20 (10:00-11:00): سير,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
Italian,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TransLab,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toffee,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eclair,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
